370,Luvdisc,Water,,43,30,55,40,65,97,330,55
371,Bagon,Dragon,,45,75,60,40,30,50,300,50
372,Shelgon,Dragon,,65,95,100,60,50,50,420,70
373,Salamence,Dragon,Flying,95,135,80,110,80,100,600,100
373M,Salamence(MegaSalamence),Dragon,Flying,95,145,130,120,90,120,700,116.67
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,50
375,Metang,Steel,Psychic,60,75,100,55,80,50,420,70
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,100
376M,Metagross(MegaMetagross),Steel,Psychic,80,145,150,105,110,110,700,116.67
377,Regirock,Rock,,80,100,200,50,100,50,580,96.67
378,Regice,Ice,,80,50,100,100,200,50,580,96.67
379,Registeel,Steel,,80,75,150,75,150,50,580,96.67
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,100
380M,Latias(MegaLatias),Dragon,Psychic,80,100,120,140,150,110,700,116.67
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,100
381M,Latios(MegaLatios),Dragon,Psychic,80,130,100,160,120,110,700,116.67
382,Kyogre,Water,,100,100,90,150,140,90,670,111.67
382P,Kyogre(PrimalKyogre),Water,,100,150,90,180,160,90,770,128.33
383,Groudon,Ground,,100,150,140,100,90,90,670,111.67
383P,Groudon(PrimalGroudon),Ground,Fire,100,180,160,150,90,90,770,128.33
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,113.33
384M,Rayquaza(MegaRayquaza),Dragon,Flying,105,180,100,180,100,115,780,130
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,100
386,Deoxys(NormalForme),Psychic,,50,150,50,150,50,150,600,100
386A,Deoxys(AttackForme),Psychic,,50,180,20,180,20,150,600,100
386D,Deoxys(DefenseForme),Psychic,,50,70,160,70,160,90,600,100
386S,Deoxys(SpeedForme),Psychic,,50,95,90,95,90,180,600,100
387,Turtwig,Grass,,55,68,64,45,55,31,318,53
388,Grotle,Grass,,75,89,85,55,65,36,405,67.5
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,87.5
390,Chimchar,Fire,,44,58,44,58,44,61,309,51.5
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,67.5
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,89
393,Piplup,Water,,53,51,53,61,56,40,314,52.33
394,Prinplup,Water,,64,66,68,81,76,50,405,67.5
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,88.33
396,Starly,Normal,Flying,40,55,30,30,30,60,245,40.83
397,Staravia,Normal,Flying,55,75,50,40,40,80,340,56.67
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485,80.83
399,Bidoof,Normal,,59,45,40,35,40,31,250,41.67
400,Bibarel,Normal,Water,79,85,60,55,60,71,410,68.33
401,Kricketot,Bug,,37,25,41,25,41,25,194,32.33
402,Kricketune,Bug,,77,85,51,55,51,65,384,64
403,Shinx,Electric,,45,65,34,40,34,45,263,43.83
404,Luxio,Electric,,60,85,49,60,49,60,363,60.5
405,Luxray,Electric,,80,120,79,95,79,70,523,87.17
406,Budew,Grass,Poison,40,30,35,50,70,55,280,46.67
407,Roserade,Grass,Poison,60,70,65,125,105,90,515,85.83
408,Cranidos,Rock,,67,125,40,30,30,58,350,58.33
409,Rampardos,Rock,,97,165,60,65,50,58,495,82.5
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350,58.33
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495,82.5
412,Burmy,Bug,,40,29,45,29,45,36,224,37.33
413,Wormadam(PlantCloak),Bug,Grass,60,59,85,79,105,36,424,70.67
413G,Wormadam(SandyCloak),Bug,Ground,60,79,105,59,85,36,424,70.67
413S,Wormadam(TrashCloak),Bug,Steel,60,69,95,69,95,36,424,70.67
414,Mothim,Bug,Flying,70,94,50,94,50,66,424,70.67
415,Combee,Bug,Flying,30,30,42,30,42,70,244,40.67
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,79
417,Pachirisu,Electric,,60,45,70,45,90,95,405,67.5
418,Buizel,Water,,55,65,35,60,30,85,330,55
419,Floatzel,Water,,85,105,55,85,50,115,495,82.5
420,Cherubi,Grass,,45,35,45,62,53,35,275,45.83
421,Cherrim,Grass,,70,60,70,87,78,85,450,75
422,Shellos,Water,,76,48,48,57,62,34,325,54.17
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,79.17
424,Ambipom,Normal,,75,100,66,60,66,115,482,80.33
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,58
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,83
427,Buneary,Normal,,55,66,44,44,56,85,350,58.33
428,Lopunny,Normal,,65,76,84,54,96,105,480,80
428M,Lopunny(MegaLopunny),Normal,Fighting,65,136,94,54,96,135,580,96.67
429,Mismagius,Ghost,,60,60,60,105,105,105,495,82.5
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505,84.17
431,Glameow,Normal,,49,55,42,42,37,85,310,51.67
432,Purugly,Normal,,71,82,64,64,59,112,452,75.33
433,Chingling,Psychic,,45,30,50,65,50,45,285,47.5
434,Stunky,Poison,Dark,63,63,47,41,41,74,329,54.83
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,79.83
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,50
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,83.33
438,Bonsly,Rock,,50,80,95,10,45,10,290,48.33
439,MimeJr.,Psychic,Fairy,20,25,45,70,90,60,310,51.67
440,Happiny,Normal,,100,5,5,15,65,30,220,36.67
441,Chatot,Normal,Flying,76,65,45,92,42,91,411,68.5
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,485,80.83
443,Gible,Dragon,Ground,58,70,45,40,45,42,300,50
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410,68.33
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600,100
445M,Garchomp(MegaGarchomp),Dragon,Ground,108,170,115,120,95,92,700,116.67
446,Munchlax,Normal,,135,85,40,40,85,5,390,65
447,Riolu,Fighting,,40,70,40,35,40,60,285,47.5
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,87.5
448M,Lucario(MegaLucario),Fighting,Steel,70,145,88,140,70,112,625,104.17
449,Hippopotas,Ground,,68,72,78,38,42,32,330,55
450,Hippowdon,Ground,,108,112,118,68,72,47,525,87.5
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,55
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,83.33
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,50
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,81.67
455,Carnivine,Grass,,74,100,72,90,72,46,454,75.67
456,Finneon,Water,,49,49,56,49,61,66,330,55
457,Lumineon,Water,,69,69,76,69,86,91,460,76.67
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,57.5
459,Snover,Grass,Ice,60,62,50,62,60,40,334,55.67
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,82.33
460M,Abomasnow(MegaAbomasnow),Grass,Ice,90,132,105,132,105,30,594,99
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,85
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,89.17
463,Lickilicky,Normal,,110,85,95,80,95,50,515,85.83
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,89.17
465,Tangrowth,Grass,,100,100,125,110,50,50,535,89.17
466,Electivire,Electric,,75,123,67,95,85,95,540,90
467,Magmortar,Fire,,75,95,67,125,95,83,540,90
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,90.83
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,85.83
470,Leafeon,Grass,,65,110,130,60,65,95,525,87.5
471,Glaceon,Ice,,65,60,110,130,95,65,525,87.5
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,85
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,88.33
474,Porygon-Z,Normal,,85,80,70,135,75,90,535,89.17
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,86.33
475M,Gallade(MegaGallade),Psychic,Fighting,68,165,95,65,115,110,618,103
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,87.5
477,Dusknoir,Ghost,,45,100,135,65,135,45,525,87.5
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,80
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,73.33
479O,Rotom(HeatRotom),Electric,Fire,50,65,107,105,107,86,520,86.67
479W,Rotom(WashRotom),Electric,Water,50,65,107,105,107,86,520,86.67
479R,Rotom(FrostRotom),Electric,Ice,50,65,107,105,107,86,520,86.67
479F,Rotom(FanRotom),Electric,Flying,50,65,107,105,107,86,520,86.67
479L,Rotom(MowRotom),Electric,Grass,50,65,107,105,107,86,520,86.67
480,Uxie,Psychic,,75,75,130,75,130,95,580,96.67
481,Mesprit,Psychic,,80,105,105,105,105,80,580,96.67
482,Azelf,Psychic,,75,125,70,125,70,115,580,96.67
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,113.33
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,113.33
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,100
486,Regigigas,Normal,,110,160,110,80,110,100,670,111.67
487,Giratina(AlteredForme),Ghost,Dragon,150,100,120,100,120,90,680,113.33
487O,Giratina(OriginForme),Ghost,Dragon,150,120,100,120,100,90,680,113.33
488,Cresselia,Psychic,,120,70,120,75,130,85,600,100
489,Phione,Water,,80,80,80,80,80,80,480,80
490,Manaphy,Water,,100,100,100,100,100,100,600,100
491,Darkrai,Dark,,70,90,90,135,90,125,600,100
492,Shaymin(LandForme),Grass,,100,100,100,100,100,100,600,100
492S,Shaymin(SkyForme),Grass,Flying,100,103,75,120,75,127,600,100
493,Arceus,Normal,,120,120,120,120,120,120,720,120
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,100
495,Snivy,Grass,,45,45,55,45,55,63,308,51.33
496,Servine,Grass,,60,60,75,60,75,83,413,68.83
497,Serperior,Grass,,75,75,95,75,95,113,528,88
498,Tepig,Fire,,65,63,45,45,45,45,308,51.33
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,69.67
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,88
501,Oshawott,Water,,55,55,45,63,45,45,308,51.33
502,Dewott,Water,,75,75,60,83,60,60,413,68.83
503,Samurott,Water,,95,100,85,108,70,70,528,88
504,Patrat,Normal,,45,55,39,35,39,42,255,42.5
505,Watchog,Normal,,60,85,69,60,69,77,420,70
506,Lillipup,Normal,,45,60,45,25,45,55,275,45.83
507,Herdier,Normal,,65,80,65,35,65,60,370,61.67
508,Stoutland,Normal,,85,110,90,45,90,80,500,83.33
509,Purrloin,Dark,,41,50,37,50,37,66,281,46.83
510,Liepard,Dark,,64,88,50,88,50,106,446,74.33
511,Pansage,Grass,,50,53,48,53,48,64,316,52.67
512,Simisage,Grass,,75,98,63,98,63,101,498,83
513,Pansear,Fire,,50,53,48,53,48,64,316,52.67
514,Simisear,Fire,,75,98,63,98,63,101,498,83
515,Panpour,Water,,50,53,48,53,48,64,316,52.67
516,Simipour,Water,,75,98,63,98,63,101,498,83
517,Munna,Psychic,,76,25,45,67,55,24,292,48.67
518,Musharna,Psychic,,116,55,85,107,95,29,487,81.17
519,Pidove,Normal,Flying,50,55,50,36,30,43,264,44
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,59.67
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,81.33
522,Blitzle,Electric,,45,60,32,50,32,76,295,49.17
523,Zebstrika,Electric,,75,100,63,80,63,116,497,82.83
524,Roggenrola,Rock,,55,75,85,25,25,15,280,46.67
525,Boldore,Rock,,70,105,105,50,40,20,390,65
526,Gigalith,Rock,,85,135,130,60,80,25,515,85.83
527,Woobat,Psychic,Flying,65,45,43,55,43,72,323,53.83
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,70.83
529,Drilbur,Ground,,60,85,40,30,45,68,328,54.67
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,84.67
531,Audino,Normal,,103,60,86,60,86,50,445,74.17
531M,Audino(MegaAudino),Normal,Fairy,103,60,126,80,126,50,545,90.83
532,Timburr,Fighting,,75,80,55,25,35,35,305,50.83
533,Gurdurr,Fighting,,85,105,85,40,50,40,405,67.5
534,Conkeldurr,Fighting,,105,140,95,55,65,45,505,84.17
535,Tympole,Water,,50,50,40,50,40,64,294,49
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,64
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,84.83
538,Throh,Fighting,,120,100,85,30,85,45,465,77.5
539,Sawk,Fighting,,75,125,75,30,75,85,465,77.5
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310,51.67
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380,63.33
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500,83.33
543,Venipede,Bug,Poison,30,45,59,30,39,57,260,43.33
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360,60
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485,80.83
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,80
548,Petilil,Grass,,45,35,50,70,50,30,280,46.67
549,Lilligant,Grass,,70,60,75,110,75,90,480,80
550,Basculin,Water,,70,92,65,80,55,98,460,76.67
551,Sandile,Ground,Dark,50,72,35,35,35,65,292,48.67
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351,58.5
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519,86.5
554,Darumaka,Fire,,70,90,45,15,45,50,315,52.5
555,Darmanitan(StandardMode),Fire,,105,140,55,30,55,95,480,80
555Z,Darmanitan(ZenMode),Fire,Psychic,105,30,105,140,105,55,540,90
556,Maractus,Grass,,75,86,67,106,67,60,461,76.83
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17
558,Crustle,Bug,Rock,70,105,125,65,75,45,485,80.83
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,58
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,81.33
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,81.67
562,Yamask,Ghost,,38,30,85,55,65,30,303,50.5
563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,80.5
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355,59.17
565,Carracosta,Water,Rock,74,108,133,83,65,32,495,82.5
566,Archen,Rock,Flying,55,112,45,74,45,70,401,66.83
567,Archeops,Rock,Flying,75,140,65,112,65,110,567,94.5
568,Trubbish,Poison,,50,50,62,40,62,65,329,54.83
569,Garbodor,Poison,,80,95,82,60,82,75,474,79
570,Zorua,Dark,,40,65,40,80,40,65,330,55
571,Zoroark,Dark,,60,105,60,120,60,105,510,85
572,Minccino,Normal,,55,50,40,40,40,75,300,50
573,Cinccino,Normal,,75,95,60,65,60,115,470,78.33
574,Gothita,Psychic,,45,30,50,55,65,45,290,48.33
575,Gothorita,Psychic,,60,45,70,75,85,55,390,65
576,Gothitelle,Psychic,,70,55,95,95,110,65,490,81.67
577,Solosis,Psychic,,45,30,40,105,50,20,290,48.33
578,Duosion,Psychic,,65,40,50,125,60,30,370,61.67
579,Reuniclus,Psychic,,110,65,75,125,85,30,490,81.67
580,Ducklett,Water,Flying,62,44,50,44,50,55,305,50.83
581,Swanna,Water,Flying,75,87,63,87,63,98,473,78.83
582,Vanillite,Ice,,36,50,50,65,60,44,305,50.83
583,Vanillish,Ice,,51,65,65,80,75,59,395,65.83
584,Vanilluxe,Ice,,71,95,85,110,95,79,535,89.17
585,Deerling,Normal,Grass,60,60,50,40,50,75,335,55.83
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475,79.17
587,Emolga,Electric,Flying,55,75,60,75,60,103,428,71.33
588,Karrablast,Bug,,50,75,45,40,45,60,315,52.5
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,82.5
590,Foongus,Grass,Poison,69,55,45,55,55,15,294,49
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464,77.33
592,Frillish,Water,Ghost,55,40,50,65,85,40,335,55.83
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,80
594,Alomomola,Water,,165,75,80,40,45,65,470,78.33
595,Joltik,Bug,Electric,50,47,50,57,50,65,319,53.17
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,78.67
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,50.83
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,81.5
599,Klink,Steel,,40,55,70,45,60,30,300,50
600,Klang,Steel,,60,80,95,70,85,50,440,73.33
601,Klinklang,Steel,,60,100,115,70,85,90,520,86.67
602,Tynamo,Electric,,35,55,40,45,40,60,275,45.83
603,Eelektrik,Electric,,65,85,70,75,70,40,405,67.5
604,Eelektross,Electric,,85,115,80,105,80,50,515,85.83
605,Elgyem,Psychic,,55,55,55,85,55,30,335,55.83
606,Beheeyem,Psychic,,75,75,75,125,95,40,485,80.83
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275,45.83
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,61.67
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,86.67
610,Axew,Dragon,,46,87,60,30,40,57,320,53.33
611,Fraxure,Dragon,,66,117,70,40,50,67,410,68.33
612,Haxorus,Dragon,,76,147,90,60,70,97,540,90
613,Cubchoo,Ice,,55,70,40,60,40,40,305,50.83
614,Beartic,Ice,,95,130,80,70,80,50,505,84.17
615,Cryogonal,Ice,,80,50,50,95,135,105,515,85.83
616,Shelmet,Bug,,50,40,85,40,65,25,305,50.83
617,Accelgor,Bug,,80,70,40,100,60,145,495,82.5
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,78.5
619,Mienfoo,Fighting,,45,85,50,55,50,65,350,58.33
620,Mienshao,Fighting,,65,125,60,95,60,105,510,85
621,Druddigon,Dragon,,77,120,90,60,90,48,485,80.83
622,Golett,Ground,Ghost,59,74,50,35,50,35,303,50.5
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,80.5
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,56.67
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,81.67
626,Bouffalant,Normal,,95,110,95,40,95,55,490,81.67
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,58.33
628,Braviary,Normal,Flying,100,123,75,57,75,80,510,85
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,61.67
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,85
631,Heatmor,Fire,,85,97,66,105,66,65,484,80.67
632,Durant,Bug,Steel,58,109,112,48,48,109,484,80.67
633,Deino,Dark,Dragon,52,65,50,45,50,38,300,50
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,70
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,100
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360,60
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550,91.67
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,96.67
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,96.67
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,96.67
641,Tornadus(IncarnateForme),Flying,,79,115,70,125,80,111,580,96.67
641T,Tornadus(TherianForme),Flying,,79,100,80,110,90,121,580,96.67
642,Thundurus(IncarnateForme),Electric,Flying,79,115,70,125,80,111,580,96.67
642T,Thundurus(TherianForme),Electric,Flying,79,105,70,145,80,101,580,96.67
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680,113.33
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680,113.33
645,Landorus(IncarnateForme),Ground,Flying,89,125,90,115,80,101,600,100
645T,Landorus(TherianForme),Ground,Flying,89,145,90,105,80,91,600,100
646,Kyurem(NormalKyurem),Dragon,Ice,125,130,90,130,90,95,660,110
646B,Kyurem(BlackKyurem),Dragon,Ice,125,170,100,120,90,95,700,116.67
646W,Kyurem(WhiteKyurem),Dragon,Ice,125,120,90,170,100,95,700,116.67
647,Keldeo,Water,Fighting,91,72,90,129,90,108,580,96.67
648,Meloetta(AriaForme),Normal,Psychic,100,77,77,128,128,90,600,100
648P,Meloetta(PirouetteForme),Normal,Fighting,100,128,90,77,77,128,600,100
649,Genesect,Bug,Steel,71,120,95,120,95,99,600,100
650,Chespin,Grass,,56,61,65,48,45,38,313,52.17
651,Quilladin,Grass,,61,78,95,56,58,57,405,67.5
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530,88.33
653,Fennekin,Fire,,40,45,40,62,60,60,307,51.17
654,Braixen,Fire,,59,59,58,90,70,73,409,68.17
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534,89
656,Froakie,Water,,41,56,40,62,44,71,314,52.33
657,Frogadier,Water,,54,63,52,83,56,97,405,67.5
658,Greninja,Water,Dark,72,95,67,103,71,122,530,88.33
658A,Greninja(Ash-Greninja),Water,Dark,72,145,67,153,71,132,640,106.67
659,Bunnelby,Normal,,38,36,38,32,36,57,237,39.5
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,70.5
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278,46.33
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382,63.67
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499,83.17
664,Scatterbug,Bug,,38,35,40,27,25,35,200,33.33
665,Spewpa,Bug,,45,22,60,27,30,29,213,35.5
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411,68.5
667,Litleo,Fire,Normal,62,50,58,73,54,72,369,61.5
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507,84.5
669,Flabébé,Fairy,,44,38,39,61,79,42,303,50.5
670,Floette,Fairy,,54,45,47,75,98,52,371,61.83
671,Florges,Fairy,,78,65,68,112,154,75,552,92
672,Skiddo,Grass,,66,65,48,62,57,52,350,58.33
673,Gogoat,Grass,,123,100,62,97,81,68,531,88.5
674,Pancham,Fighting,,67,82,62,46,48,43,348,58
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,82.5
676,Furfrou,Normal,,75,80,60,65,90,102,472,78.67
677,Espurr,Psychic,,62,48,54,63,60,68,355,59.17
678,Meowstic,Psychic,,74,48,76,83,81,104,466,77.67
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,54.17
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,74.67
681,Aegislash(ShieldForme),Steel,Ghost,60,50,150,50,150,60,520,86.67
681B,Aegislash(BladeForme),Steel,Ghost,60,150,50,150,50,60,520,86.67
682,Spritzee,Fairy,,78,52,60,63,65,23,341,56.83
683,Aromatisse,Fairy,,101,72,72,99,89,29,462,77
684,Swirlix,Fairy,,62,48,66,59,57,49,341,56.83
685,Slurpuff,Fairy,,82,80,86,85,75,72,480,80
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,48
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,80.33
688,Binacle,Rock,Water,42,52,67,39,56,50,306,51
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,83.33
690,Skrelp,Poison,Water,50,60,60,60,60,30,320,53.33
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,494,82.33
692,Clauncher,Water,,50,53,62,58,63,44,330,55
693,Clawitzer,Water,,71,73,88,120,89,59,500,83.33
694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,48.17
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,80.17
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,362,60.33
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521,86.83
698,Amaura,Rock,Ice,77,59,50,67,63,46,362,60.33
699,Aurorus,Rock,Ice,123,77,72,99,92,58,521,86.83
700,Sylveon,Fairy,,95,65,65,110,130,60,525,87.5
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500,83.33
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,431,71.83
703,Carbink,Rock,Fairy,50,50,150,50,150,50,500,83.33
704,Goomy,Dragon,,45,50,35,55,75,40,300,50
705,Sliggoo,Dragon,,68,75,53,83,113,60,452,75.33
706,Goodra,Dragon,,90,100,70,110,150,80,600,100
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470,78.33
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309,51.5
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,79
710,Pumpkaboo(SmallSize),Ghost,Grass,44,66,70,44,55,56,335,55.83
710,Pumpkaboo(AverageSize),Ghost,Grass,49,66,70,44,55,51,335,55.83
710,Pumpkaboo(LargeSize),Ghost,Grass,54,66,70,44,55,46,335,55.83
710,Pumpkaboo(SuperSize),Ghost,Grass,59,66,70,44,55,41,335,55.83
711,Gourgeist(SmallSize),Ghost,Grass,55,85,122,58,75,99,494,82.33
711,Gourgeist(AverageSize),Ghost,Grass,65,90,122,58,75,84,494,82.33
711,Gourgeist(LargeSize),Ghost,Grass,75,95,122,58,75,69,494,82.33
711,Gourgeist(SuperSize),Ghost,Grass,85,100,122,58,75,54,494,82.33
712,Bergmite,Ice,,55,69,85,32,35,28,304,50.67
713,Avalugg,Ice,,95,117,184,44,46,28,514,85.67
714,Noibat,Flying,Dragon,40,30,35,45,40,55,245,40.83
715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,89.17
716,Xerneas,Fairy,,126,131,95,131,98,99,680,113.33
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680,113.33
718,Zygarde(50%Forme),Dragon,Ground,108,100,121,81,95,95,600,100
718T,Zygarde(10%Forme),Dragon,Ground,54,100,71,61,85,115,486,81
718C,Zygarde(CompleteForme),Dragon,Ground,216,100,121,91,95,85,708,118
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600,100
719M,Diancie(MegaDiancie),Rock,Fairy,50,160,110,160,110,110,700,116.67
720,Hoopa(HoopaConfined),Psychic,Ghost,80,110,60,150,130,70,600,100
720U,Hoopa(HoopaUnbound),Psychic,Dark,80,160,60,170,130,80,680,113.33
721,Volcanion,Fire,Water,80,110,120,130,90,70,600,100
722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,53.33
723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,70
724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,88.33
725,Litten,Fire,,45,65,40,60,40,70,320,53.33
726,Torracat,Fire,,65,85,50,80,50,90,420,70
727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,88.33
728,Popplio,Water,,50,54,54,66,56,40,320,53.33
729,Brionne,Water,,60,69,69,91,81,50,420,70
730,Primarina,Water,Fairy,80,74,74,126,116,60,530,88.33
731,Pikipek,Normal,Flying,35,75,30,30,30,65,265,44.17
732,Trumbeak,Normal,Flying,55,85,50,40,50,75,355,59.17
733,Toucannon,Normal,Flying,80,120,75,75,75,60,485,80.83
734,Yungoos,Normal,,48,70,30,30,30,45,253,42.17
735,Gumshoos,Normal,,88,110,60,55,60,45,418,69.67
736,Grubbin,Bug,,47,62,45,55,45,46,300,50
737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,66.67
738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,83.33
739,Crabrawler,Fighting,,47,82,57,42,47,63,338,56.33
740,Crabominable,Fighting,Ice,97,132,77,62,67,43,478,79.67
741,Oricorio,Fire,Flying,75,70,70,98,70,93,476,79.33
742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,50.67
743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,77.33
744,Rockruff,Rock,,45,65,40,30,40,60,280,46.67
745,Lycanroc(MiddayForm),Rock,,75,115,65,55,65,112,487,81.17
